TOP.5d9d4e91.0005de13	START
TOP.5d9d7e34.00098a5a	user_options->username	0
TOP.5d9d7e34.00098a5a	user_options->veracrypt_pim	0
TOP.5d9d7e34.00098a5a	user_options->version	0
TOP.5d9d7e34.00098a5a	user_options->workload_profile	2
TOP.5d9d7e34.00098a5a	user_options->brain_client	0
TOP.5d9d7e34.00098a5a	user_options->brain_client_features	2
TOP.5d9d7e34.00098a5a	user_options->brain_server	0
TOP.5d9d7e34.00098a5a	user_options->brain_port	6863
TOP.5d9d7e34.00098a5a	user_options->brain_session	0
TOP.5d9d7e34.00098a5a	proc_start	1570602548
TOP.5d9d7e34.00098a5a	proc_stop	1570602548
TOP.5d9d7e34.00098a5a	STOP
TOP.5d9d7e71.000b236c	START
TOP.5d9d7e71.000b236c	user_options->separator	:
TOP.5d9d7e71.000b236c	user_options->encoding_from	utf-8
TOP.5d9d7e71.000b236c	user_options->encoding_to	utf-8
TOP.5d9d7e71.000b236c	user_options->outfile	..\result\succeed.txt
TOP.5d9d7e71.000b236c	user_options->rule_buf_l	:
TOP.5d9d7e71.000b236c	user_options->rule_buf_r	:
TOP.5d9d7e71.000b236c	user_options->session	show
TOP.5d9d7e71.000b236c	user_options->limit	0
TOP.5d9d7e71.000b236c	user_options->skip	0
TOP.5d9d7e71.000b236c	user_options->attack_mode	100
TOP.5d9d7e71.000b236c	user_options->benchmark	0
TOP.5d9d7e71.000b236c	user_options->benchmark_all	0
TOP.5d9d7e71.000b236c	user_options->bitmap_max	18
TOP.5d9d7e71.000b236c	user_options->bitmap_min	16
TOP.5d9d7e71.000b236c	user_options->debug_mode	0
TOP.5d9d7e71.000b236c	user_options->example_hashes	0
TOP.5d9d7e71.000b236c	user_options->force	1
TOP.5d9d7e71.000b236c	user_options->hwmon_disable	0
TOP.5d9d7e71.000b236c	user_options->hwmon_temp_abort	90
TOP.5d9d7e71.000b236c	user_options->hash_mode	13100
TOP.5d9d7e71.000b236c	user_options->hex_charset	0
TOP.5d9d7e71.000b236c	user_options->hex_salt	0
TOP.5d9d7e71.000b236c	user_options->hex_wordlist	0
TOP.5d9d7e71.000b236c	user_options->increment	0
TOP.5d9d7e71.000b236c	user_options->increment_max	256
TOP.5d9d7e71.000b236c	user_options->increment_min	1
TOP.5d9d7e71.000b236c	user_options->keep_guessing	0
TOP.5d9d7e71.000b236c	user_options->kernel_accel	0
TOP.5d9d7e71.000b236c	user_options->kernel_loops	0
TOP.5d9d7e71.000b236c	user_options->kernel_threads	0
TOP.5d9d7e71.000b236c	user_options->keyspace	0
TOP.5d9d7e71.000b236c	user_options->left	0
TOP.5d9d7e71.000b236c	user_options->logfile_disable	0
TOP.5d9d7e71.000b236c	user_options->loopback	0
TOP.5d9d7e71.000b236c	user_options->machine_readable	0
TOP.5d9d7e71.000b236c	user_options->markov_classic	0
TOP.5d9d7e71.000b236c	user_options->markov_disable	0
TOP.5d9d7e71.000b236c	user_options->markov_threshold	256
TOP.5d9d7e71.000b236c	user_options->opencl_info	0
TOP.5d9d7e71.000b236c	user_options->opencl_vector_width	0
TOP.5d9d7e71.000b236c	user_options->optimized_kernel_enable	0
TOP.5d9d7e71.000b236c	user_options->outfile_autohex	1
TOP.5d9d7e71.000b236c	user_options->outfile_check_timer	5
TOP.5d9d7e71.000b236c	user_options->outfile_format	3
TOP.5d9d7e71.000b236c	user_options->wordlist_autohex_disable	0
TOP.5d9d7e71.000b236c	user_options->potfile_disable	0
TOP.5d9d7e71.000b236c	user_options->progress_only	0
TOP.5d9d7e71.000b236c	user_options->quiet	1
TOP.5d9d7e71.000b236c	user_options->remove	0
TOP.5d9d7e71.000b236c	user_options->remove_timer	60
TOP.5d9d7e71.000b236c	user_options->restore	0
TOP.5d9d7e71.000b236c	user_options->restore_disable	1
TOP.5d9d7e71.000b236c	user_options->restore_timer	60
TOP.5d9d7e71.000b236c	user_options->rp_files_cnt	0
TOP.5d9d7e71.000b236c	user_options->rp_gen	0
TOP.5d9d7e71.000b236c	user_options->rp_gen_func_max	4
TOP.5d9d7e71.000b236c	user_options->rp_gen_func_min	1
TOP.5d9d7e71.000b236c	user_options->rp_gen_seed	0
TOP.5d9d7e71.000b236c	user_options->runtime	0
TOP.5d9d7e71.000b236c	user_options->scrypt_tmto	0
TOP.5d9d7e71.000b236c	user_options->segment_size	33554432
TOP.5d9d7e71.000b236c	user_options->self_test_disable	0
TOP.5d9d7e71.000b236c	user_options->slow_candidates	0
TOP.5d9d7e71.000b236c	user_options->show	1
TOP.5d9d7e71.000b236c	user_options->speed_only	0
TOP.5d9d7e71.000b236c	user_options->spin_damp	8
TOP.5d9d7e71.000b236c	user_options->status	0
TOP.5d9d7e71.000b236c	user_options->status_timer	10
TOP.5d9d7e71.000b236c	user_options->stdout_flag	0
TOP.5d9d7e71.000b236c	user_options->usage	0
TOP.5d9d7e71.000b236c	user_options->username	0
TOP.5d9d7e71.000b236c	user_options->veracrypt_pim	0
TOP.5d9d7e71.000b236c	user_options->version	0
TOP.5d9d7e71.000b236c	user_options->workload_profile	2
TOP.5d9d7e71.000b236c	user_options->brain_client	0
TOP.5d9d7e71.000b236c	user_options->brain_client_features	2
TOP.5d9d7e71.000b236c	user_options->brain_server	0
TOP.5d9d7e71.000b236c	user_options->brain_port	6863
TOP.5d9d7e71.000b236c	user_options->brain_session	0
TOP.5d9d7e71.000b236c	proc_start	1570602609
TOP.5d9d7e71.000b236c	proc_stop	1570602609
TOP.5d9d7e71.000b236c	STOP
TOP.5d9d7e75.0005835c	START
TOP.5d9d7e75.0005835c	user_options->separator	:
TOP.5d9d7e75.0005835c	user_options->encoding_from	utf-8
TOP.5d9d7e75.0005835c	user_options->encoding_to	utf-8
TOP.5d9d7e75.0005835c	user_options->outfile	..\result\succeed.txt
TOP.5d9d7e75.0005835c	user_options->rule_buf_l	:
TOP.5d9d7e75.0005835c	user_options->rule_buf_r	:
TOP.5d9d7e75.0005835c	user_options->session	show
TOP.5d9d7e75.0005835c	user_options->limit	0
TOP.5d9d7e75.0005835c	user_options->skip	0
TOP.5d9d7e75.0005835c	user_options->attack_mode	100
TOP.5d9d7e75.0005835c	user_options->benchmark	0
TOP.5d9d7e75.0005835c	user_options->benchmark_all	0
TOP.5d9d7e75.0005835c	user_options->bitmap_max	18
TOP.5d9d7e75.0005835c	user_options->bitmap_min	16
TOP.5d9d7e75.0005835c	user_options->debug_mode	0
TOP.5d9d7e75.0005835c	user_options->example_hashes	0
TOP.5d9d7e75.0005835c	user_options->force	1
TOP.5d9d7e75.0005835c	user_options->hwmon_disable	0
TOP.5d9d7e75.0005835c	user_options->hwmon_temp_abort	90
TOP.5d9d7e75.0005835c	user_options->hash_mode	13100
TOP.5d9d7e75.0005835c	user_options->hex_charset	0
TOP.5d9d7e75.0005835c	user_options->hex_salt	0
TOP.5d9d7e75.0005835c	user_options->hex_wordlist	0
TOP.5d9d7e75.0005835c	user_options->increment	0
TOP.5d9d7e75.0005835c	user_options->increment_max	256
TOP.5d9d7e75.0005835c	user_options->increment_min	1
TOP.5d9d7e75.0005835c	user_options->keep_guessing	0
TOP.5d9d7e75.0005835c	user_options->kernel_accel	0
TOP.5d9d7e75.0005835c	user_options->kernel_loops	0
TOP.5d9d7e75.0005835c	user_options->kernel_threads	0
TOP.5d9d7e75.0005835c	user_options->keyspace	0
TOP.5d9d7e75.0005835c	user_options->left	0
TOP.5d9d7e75.0005835c	user_options->logfile_disable	0
TOP.5d9d7e75.0005835c	user_options->loopback	0
TOP.5d9d7e75.0005835c	user_options->machine_readable	0
TOP.5d9d7e75.0005835c	user_options->markov_classic	0
TOP.5d9d7e75.0005835c	user_options->markov_disable	0
TOP.5d9d7e75.0005835c	user_options->markov_threshold	256
TOP.5d9d7e75.0005835c	user_options->opencl_info	0
TOP.5d9d7e75.0005835c	user_options->opencl_vector_width	0
TOP.5d9d7e75.0005835c	user_options->optimized_kernel_enable	0
TOP.5d9d7e75.0005835c	user_options->outfile_autohex	1
TOP.5d9d7e75.0005835c	user_options->outfile_check_timer	5
TOP.5d9d7e75.0005835c	user_options->outfile_format	3
TOP.5d9d7e75.0005835c	user_options->wordlist_autohex_disable	0
TOP.5d9d7e75.0005835c	user_options->potfile_disable	0
TOP.5d9d7e75.0005835c	user_options->progress_only	0
TOP.5d9d7e75.0005835c	user_options->quiet	1
TOP.5d9d7e75.0005835c	user_options->remove	0
TOP.5d9d7e75.0005835c	user_options->remove_timer	60
TOP.5d9d7e75.0005835c	user_options->restore	0
TOP.5d9d7e75.0005835c	user_options->restore_disable	1
TOP.5d9d7e75.0005835c	user_options->restore_timer	60
TOP.5d9d7e75.0005835c	user_options->rp_files_cnt	0
TOP.5d9d7e75.0005835c	user_options->rp_gen	0
TOP.5d9d7e75.0005835c	user_options->rp_gen_func_max	4
TOP.5d9d7e75.0005835c	user_options->rp_gen_func_min	1
TOP.5d9d7e75.0005835c	user_options->rp_gen_seed	0
TOP.5d9d7e75.0005835c	user_options->runtime	0
TOP.5d9d7e75.0005835c	user_options->scrypt_tmto	0
TOP.5d9d7e75.0005835c	user_options->segment_size	33554432
TOP.5d9d7e75.0005835c	user_options->self_test_disable	0
TOP.5d9d7e75.0005835c	user_options->slow_candidates	0
TOP.5d9d7e75.0005835c	user_options->show	1
TOP.5d9d7e75.0005835c	user_options->speed_only	0
TOP.5d9d7e75.0005835c	user_options->spin_damp	8
TOP.5d9d7e75.0005835c	user_options->status	0
TOP.5d9d7e75.0005835c	user_options->status_timer	10
TOP.5d9d7e75.0005835c	user_options->stdout_flag	0
TOP.5d9d7e75.0005835c	user_options->usage	0
TOP.5d9d7e75.0005835c	user_options->username	0
TOP.5d9d7e75.0005835c	user_options->veracrypt_pim	0
TOP.5d9d7e75.0005835c	user_options->version	0
TOP.5d9d7e75.0005835c	user_options->workload_profile	2
TOP.5d9d7e75.0005835c	user_options->brain_client	0
TOP.5d9d7e75.0005835c	user_options->brain_client_features	2
TOP.5d9d7e75.0005835c	user_options->brain_server	0
TOP.5d9d7e75.0005835c	user_options->brain_port	6863
TOP.5d9d7e75.0005835c	user_options->brain_session	0
TOP.5d9d7e75.0005835c	proc_start	1570602613
TOP.5d9d7e75.0005835c	proc_stop	1570602613
TOP.5d9d7e75.0005835c	STOP
TOP.5d9d7ea4.000f39cf	START
TOP.5d9d7ea4.000f39cf	user_options->separator	:
TOP.5d9d7ea4.000f39cf	user_options->encoding_from	utf-8
TOP.5d9d7ea4.000f39cf	user_options->encoding_to	utf-8
TOP.5d9d7ea4.000f39cf	user_options->outfile	..\result\succeed.txt
TOP.5d9d7ea4.000f39cf	user_options->rule_buf_l	:
TOP.5d9d7ea4.000f39cf	user_options->rule_buf_r	:
TOP.5d9d7ea4.000f39cf	user_options->session	show
TOP.5d9d7ea4.000f39cf	user_options->limit	0
TOP.5d9d7ea4.000f39cf	user_options->skip	0
TOP.5d9d7ea4.000f39cf	user_options->attack_mode	100
TOP.5d9d7ea4.000f39cf	user_options->benchmark	0
TOP.5d9d7ea4.000f39cf	user_options->benchmark_all	0
TOP.5d9d7ea4.000f39cf	user_options->bitmap_max	18
TOP.5d9d7ea4.000f39cf	user_options->bitmap_min	16
TOP.5d9d7ea4.000f39cf	user_options->debug_mode	0
TOP.5d9d7ea4.000f39cf	user_options->example_hashes	0
TOP.5d9d7ea4.000f39cf	user_options->force	1
TOP.5d9d7ea4.000f39cf	user_options->hwmon_disable	0
TOP.5d9d7ea4.000f39cf	user_options->hwmon_temp_abort	90
TOP.5d9d7ea4.000f39cf	user_options->hash_mode	13100
TOP.5d9d7ea4.000f39cf	user_options->hex_charset	0
TOP.5d9d7ea4.000f39cf	user_options->hex_salt	0
TOP.5d9d7ea4.000f39cf	user_options->hex_wordlist	0
TOP.5d9d7ea4.000f39cf	user_options->increment	0
TOP.5d9d7ea4.000f39cf	user_options->increment_max	256
TOP.5d9d7ea4.000f39cf	user_options->increment_min	1
TOP.5d9d7ea4.000f39cf	user_options->keep_guessing	0
TOP.5d9d7ea4.000f39cf	user_options->kernel_accel	0
TOP.5d9d7ea4.000f39cf	user_options->kernel_loops	0
TOP.5d9d7ea4.000f39cf	user_options->kernel_threads	0
TOP.5d9d7ea4.000f39cf	user_options->keyspace	0
TOP.5d9d7ea4.000f39cf	user_options->left	0
TOP.5d9d7ea4.000f39cf	user_options->logfile_disable	0
TOP.5d9d7ea4.000f39cf	user_options->loopback	0
TOP.5d9d7ea4.000f39cf	user_options->machine_readable	0
TOP.5d9d7ea4.000f39cf	user_options->markov_classic	0
TOP.5d9d7ea4.000f39cf	user_options->markov_disable	0
TOP.5d9d7ea4.000f39cf	user_options->markov_threshold	256
TOP.5d9d7ea4.000f39cf	user_options->opencl_info	0
TOP.5d9d7ea4.000f39cf	user_options->opencl_vector_width	0
TOP.5d9d7ea4.000f39cf	user_options->optimized_kernel_enable	0
TOP.5d9d7ea4.000f39cf	user_options->outfile_autohex	1
TOP.5d9d7ea4.000f39cf	user_options->outfile_check_timer	5
TOP.5d9d7ea4.000f39cf	user_options->outfile_format	3
TOP.5d9d7ea4.000f39cf	user_options->wordlist_autohex_disable	0
TOP.5d9d7ea4.000f39cf	user_options->potfile_disable	0
TOP.5d9d7ea4.000f39cf	user_options->progress_only	0
TOP.5d9d7ea4.000f39cf	user_options->quiet	1
TOP.5d9d7ea4.000f39cf	user_options->remove	0
TOP.5d9d7ea4.000f39cf	user_options->remove_timer	60
TOP.5d9d7ea4.000f39cf	user_options->restore	0
TOP.5d9d7ea4.000f39cf	user_options->restore_disable	1
TOP.5d9d7ea4.000f39cf	user_options->restore_timer	60
TOP.5d9d7ea4.000f39cf	user_options->rp_files_cnt	0
TOP.5d9d7ea4.000f39cf	user_options->rp_gen	0
TOP.5d9d7ea4.000f39cf	user_options->rp_gen_func_max	4
TOP.5d9d7ea4.000f39cf	user_options->rp_gen_func_min	1
TOP.5d9d7ea4.000f39cf	user_options->rp_gen_seed	0
TOP.5d9d7ea4.000f39cf	user_options->runtime	0
TOP.5d9d7ea4.000f39cf	user_options->scrypt_tmto	0
TOP.5d9d7ea4.000f39cf	user_options->segment_size	33554432
TOP.5d9d7ea4.000f39cf	user_options->self_test_disable	0
TOP.5d9d7ea4.000f39cf	user_options->slow_candidates	0
TOP.5d9d7ea4.000f39cf	user_options->show	1
TOP.5d9d7ea4.000f39cf	user_options->speed_only	0
TOP.5d9d7ea4.000f39cf	user_options->spin_damp	8
TOP.5d9d7ea4.000f39cf	user_options->status	0
TOP.5d9d7ea4.000f39cf	user_options->status_timer	10
TOP.5d9d7ea4.000f39cf	user_options->stdout_flag	0
TOP.5d9d7ea4.000f39cf	user_options->usage	0
TOP.5d9d7ea4.000f39cf	user_options->username	0
TOP.5d9d7ea4.000f39cf	user_options->veracrypt_pim	0
TOP.5d9d7ea4.000f39cf	user_options->version	0
TOP.5d9d7ea4.000f39cf	user_options->workload_profile	2
TOP.5d9d7ea4.000f39cf	user_options->brain_client	0
TOP.5d9d7ea4.000f39cf	user_options->brain_client_features	2
TOP.5d9d7ea4.000f39cf	user_options->brain_server	0
TOP.5d9d7ea4.000f39cf	user_options->brain_port	6863
TOP.5d9d7ea4.000f39cf	user_options->brain_session	0
TOP.5d9d7ea4.000f39cf	proc_start	1570602660
TOP.5d9d7ea4.000f39cf	proc_stop	1570602661
TOP.5d9d7ea4.000f39cf	STOP
TOP.5d9d7ef8.0005cdaf	START
TOP.5d9d7ef8.0005cdaf	user_options->separator	:
TOP.5d9d7ef8.0005cdaf	user_options->encoding_from	utf-8
TOP.5d9d7ef8.0005cdaf	user_options->encoding_to	utf-8
TOP.5d9d7ef8.0005cdaf	user_options->outfile	..\result\succeed.txt
TOP.5d9d7ef8.0005cdaf	user_options->rule_buf_l	:
TOP.5d9d7ef8.0005cdaf	user_options->rule_buf_r	:
TOP.5d9d7ef8.0005cdaf	user_options->session	show
TOP.5d9d7ef8.0005cdaf	user_options->limit	0
TOP.5d9d7ef8.0005cdaf	user_options->skip	0
TOP.5d9d7ef8.0005cdaf	user_options->attack_mode	100
TOP.5d9d7ef8.0005cdaf	user_options->benchmark	0
TOP.5d9d7ef8.0005cdaf	user_options->benchmark_all	0
TOP.5d9d7ef8.0005cdaf	user_options->bitmap_max	18
TOP.5d9d7ef8.0005cdaf	user_options->bitmap_min	16
TOP.5d9d7ef8.0005cdaf	user_options->debug_mode	0
TOP.5d9d7ef8.0005cdaf	user_options->example_hashes	0
TOP.5d9d7ef8.0005cdaf	user_options->force	1
TOP.5d9d7ef8.0005cdaf	user_options->hwmon_disable	0
TOP.5d9d7ef8.0005cdaf	user_options->hwmon_temp_abort	90
TOP.5d9d7ef8.0005cdaf	user_options->hash_mode	13100
TOP.5d9d7ef8.0005cdaf	user_options->hex_charset	0
TOP.5d9d7ef8.0005cdaf	user_options->hex_salt	0
TOP.5d9d7ef8.0005cdaf	user_options->hex_wordlist	0
TOP.5d9d7ef8.0005cdaf	user_options->increment	0
TOP.5d9d7ef8.0005cdaf	user_options->increment_max	256
TOP.5d9d7ef8.0005cdaf	user_options->increment_min	1
TOP.5d9d7ef8.0005cdaf	user_options->keep_guessing	0
TOP.5d9d7ef8.0005cdaf	user_options->kernel_accel	0
TOP.5d9d7ef8.0005cdaf	user_options->kernel_loops	0
TOP.5d9d7ef8.0005cdaf	user_options->kernel_threads	0
TOP.5d9d7ef8.0005cdaf	user_options->keyspace	0
TOP.5d9d7ef8.0005cdaf	user_options->left	0
TOP.5d9d7ef8.0005cdaf	user_options->logfile_disable	0
TOP.5d9d7ef8.0005cdaf	user_options->loopback	0
TOP.5d9d7ef8.0005cdaf	user_options->machine_readable	0
TOP.5d9d7ef8.0005cdaf	user_options->markov_classic	0
TOP.5d9d7ef8.0005cdaf	user_options->markov_disable	0
TOP.5d9d7ef8.0005cdaf	user_options->markov_threshold	256
TOP.5d9d7ef8.0005cdaf	user_options->opencl_info	0
TOP.5d9d7ef8.0005cdaf	user_options->opencl_vector_width	0
TOP.5d9d7ef8.0005cdaf	user_options->optimized_kernel_enable	0
TOP.5d9d7ef8.0005cdaf	user_options->outfile_autohex	1
TOP.5d9d7ef8.0005cdaf	user_options->outfile_check_timer	5
TOP.5d9d7ef8.0005cdaf	user_options->outfile_format	3
TOP.5d9d7ef8.0005cdaf	user_options->wordlist_autohex_disable	0
TOP.5d9d7ef8.0005cdaf	user_options->potfile_disable	0
TOP.5d9d7ef8.0005cdaf	user_options->progress_only	0
TOP.5d9d7ef8.0005cdaf	user_options->quiet	1
TOP.5d9d7ef8.0005cdaf	user_options->remove	0
TOP.5d9d7ef8.0005cdaf	user_options->remove_timer	60
TOP.5d9d7ef8.0005cdaf	user_options->restore	0
TOP.5d9d7ef8.0005cdaf	user_options->restore_disable	1
TOP.5d9d7ef8.0005cdaf	user_options->restore_timer	60
TOP.5d9d7ef8.0005cdaf	user_options->rp_files_cnt	0
TOP.5d9d7ef8.0005cdaf	user_options->rp_gen	0
TOP.5d9d7ef8.0005cdaf	user_options->rp_gen_func_max	4
TOP.5d9d7ef8.0005cdaf	user_options->rp_gen_func_min	1
TOP.5d9d7ef8.0005cdaf	user_options->rp_gen_seed	0
TOP.5d9d7ef8.0005cdaf	user_options->runtime	0
TOP.5d9d7ef8.0005cdaf	user_options->scrypt_tmto	0
TOP.5d9d7ef8.0005cdaf	user_options->segment_size	33554432
TOP.5d9d7ef8.0005cdaf	user_options->self_test_disable	0
TOP.5d9d7ef8.0005cdaf	user_options->slow_candidates	0
TOP.5d9d7ef8.0005cdaf	user_options->show	1
TOP.5d9d7ef8.0005cdaf	user_options->speed_only	0
TOP.5d9d7ef8.0005cdaf	user_options->spin_damp	8
TOP.5d9d7ef8.0005cdaf	user_options->status	0
TOP.5d9d7ef8.0005cdaf	user_options->status_timer	10
TOP.5d9d7ef8.0005cdaf	user_options->stdout_flag	0
TOP.5d9d7ef8.0005cdaf	user_options->usage	0
TOP.5d9d7ef8.0005cdaf	user_options->username	0
TOP.5d9d7ef8.0005cdaf	user_options->veracrypt_pim	0
TOP.5d9d7ef8.0005cdaf	user_options->version	0
TOP.5d9d7ef8.0005cdaf	user_options->workload_profile	2
TOP.5d9d7ef8.0005cdaf	user_options->brain_client	0
TOP.5d9d7ef8.0005cdaf	user_options->brain_client_features	2
TOP.5d9d7ef8.0005cdaf	user_options->brain_server	0
TOP.5d9d7ef8.0005cdaf	user_options->brain_port	6863
TOP.5d9d7ef8.0005cdaf	user_options->brain_session	0
TOP.5d9d7ef8.0005cdaf	proc_start	1570602744
TOP.5d9d7ef8.0005cdaf	proc_stop	1570602744
TOP.5d9d7ef8.0005cdaf	STOP
TOP.5d9d7f37.0000cbf5	START
TOP.5d9d7f37.0000cbf5	user_options->separator	:
TOP.5d9d7f37.0000cbf5	user_options->encoding_from	utf-8
TOP.5d9d7f37.0000cbf5	user_options->encoding_to	utf-8
TOP.5d9d7f37.0000cbf5	user_options->outfile	..\result\succeed.txt
TOP.5d9d7f37.0000cbf5	user_options->rule_buf_l	:
TOP.5d9d7f37.0000cbf5	user_options->rule_buf_r	:
TOP.5d9d7f37.0000cbf5	user_options->session	show
TOP.5d9d7f37.0000cbf5	user_options->limit	0
TOP.5d9d7f37.0000cbf5	user_options->skip	0
TOP.5d9d7f37.0000cbf5	user_options->attack_mode	100
TOP.5d9d7f37.0000cbf5	user_options->benchmark	0
TOP.5d9d7f37.0000cbf5	user_options->benchmark_all	0
TOP.5d9d7f37.0000cbf5	user_options->bitmap_max	18
TOP.5d9d7f37.0000cbf5	user_options->bitmap_min	16
TOP.5d9d7f37.0000cbf5	user_options->debug_mode	0
TOP.5d9d7f37.0000cbf5	user_options->example_hashes	0
TOP.5d9d7f37.0000cbf5	user_options->force	1
TOP.5d9d7f37.0000cbf5	user_options->hwmon_disable	0
TOP.5d9d7f37.0000cbf5	user_options->hwmon_temp_abort	90
TOP.5d9d7f37.0000cbf5	user_options->hash_mode	13100
TOP.5d9d7f37.0000cbf5	user_options->hex_charset	0
TOP.5d9d7f37.0000cbf5	user_options->hex_salt	0
TOP.5d9d7f37.0000cbf5	user_options->hex_wordlist	0
TOP.5d9d7f37.0000cbf5	user_options->increment	0
TOP.5d9d7f37.0000cbf5	user_options->increment_max	256
TOP.5d9d7f37.0000cbf5	user_options->increment_min	1
TOP.5d9d7f37.0000cbf5	user_options->keep_guessing	0
TOP.5d9d7f37.0000cbf5	user_options->kernel_accel	0
TOP.5d9d7f37.0000cbf5	user_options->kernel_loops	0
TOP.5d9d7f37.0000cbf5	user_options->kernel_threads	0
TOP.5d9d7f37.0000cbf5	user_options->keyspace	0
TOP.5d9d7f37.0000cbf5	user_options->left	0
TOP.5d9d7f37.0000cbf5	user_options->logfile_disable	0
TOP.5d9d7f37.0000cbf5	user_options->loopback	0
TOP.5d9d7f37.0000cbf5	user_options->machine_readable	0
TOP.5d9d7f37.0000cbf5	user_options->markov_classic	0
TOP.5d9d7f37.0000cbf5	user_options->markov_disable	0
TOP.5d9d7f37.0000cbf5	user_options->markov_threshold	256
TOP.5d9d7f37.0000cbf5	user_options->opencl_info	0
TOP.5d9d7f37.0000cbf5	user_options->opencl_vector_width	0
TOP.5d9d7f37.0000cbf5	user_options->optimized_kernel_enable	0
TOP.5d9d7f37.0000cbf5	user_options->outfile_autohex	1
TOP.5d9d7f37.0000cbf5	user_options->outfile_check_timer	5
TOP.5d9d7f37.0000cbf5	user_options->outfile_format	3
TOP.5d9d7f37.0000cbf5	user_options->wordlist_autohex_disable	0
TOP.5d9d7f37.0000cbf5	user_options->potfile_disable	0
TOP.5d9d7f37.0000cbf5	user_options->progress_only	0
TOP.5d9d7f37.0000cbf5	user_options->quiet	1
TOP.5d9d7f37.0000cbf5	user_options->remove	0
TOP.5d9d7f37.0000cbf5	user_options->remove_timer	60
TOP.5d9d7f37.0000cbf5	user_options->restore	0
TOP.5d9d7f37.0000cbf5	user_options->restore_disable	1
TOP.5d9d7f37.0000cbf5	user_options->restore_timer	60
TOP.5d9d7f37.0000cbf5	user_options->rp_files_cnt	0
TOP.5d9d7f37.0000cbf5	user_options->rp_gen	0
TOP.5d9d7f37.0000cbf5	user_options->rp_gen_func_max	4
TOP.5d9d7f37.0000cbf5	user_options->rp_gen_func_min	1
TOP.5d9d7f37.0000cbf5	user_options->rp_gen_seed	0
TOP.5d9d7f37.0000cbf5	user_options->runtime	0
TOP.5d9d7f37.0000cbf5	user_options->scrypt_tmto	0
TOP.5d9d7f37.0000cbf5	user_options->segment_size	33554432
TOP.5d9d7f37.0000cbf5	user_options->self_test_disable	0
TOP.5d9d7f37.0000cbf5	user_options->slow_candidates	0
TOP.5d9d7f37.0000cbf5	user_options->show	1
TOP.5d9d7f37.0000cbf5	user_options->speed_only	0
TOP.5d9d7f37.0000cbf5	user_options->spin_damp	8
TOP.5d9d7f37.0000cbf5	user_options->status	0
TOP.5d9d7f37.0000cbf5	user_options->status_timer	10
TOP.5d9d7f37.0000cbf5	user_options->stdout_flag	0
TOP.5d9d7f37.0000cbf5	user_options->usage	0
TOP.5d9d7f37.0000cbf5	user_options->username	0
TOP.5d9d7f37.0000cbf5	user_options->veracrypt_pim	0
TOP.5d9d7f37.0000cbf5	user_options->version	0
TOP.5d9d7f37.0000cbf5	user_options->workload_profile	2
TOP.5d9d7f37.0000cbf5	user_options->brain_client	0
TOP.5d9d7f37.0000cbf5	user_options->brain_client_features	2
TOP.5d9d7f37.0000cbf5	user_options->brain_server	0
TOP.5d9d7f37.0000cbf5	user_options->brain_port	6863
TOP.5d9d7f37.0000cbf5	user_options->brain_session	0
TOP.5d9d7f37.0000cbf5	proc_start	1570602807
TOP.5d9d7f37.0000cbf5	proc_stop	1570602807
TOP.5d9d7f37.0000cbf5	STOP
TOP.5d9d7fb7.0001e07f	START
TOP.5d9d7fb7.0001e07f	user_options->separator	:
TOP.5d9d7fb7.0001e07f	user_options->encoding_from	utf-8
TOP.5d9d7fb7.0001e07f	user_options->encoding_to	utf-8
TOP.5d9d7fb7.0001e07f	user_options->outfile	..\result\succeed.txt
TOP.5d9d7fb7.0001e07f	user_options->rule_buf_l	:
TOP.5d9d7fb7.0001e07f	user_options->rule_buf_r	:
TOP.5d9d7fb7.0001e07f	user_options->session	show
TOP.5d9d7fb7.0001e07f	user_options->limit	0
TOP.5d9d7fb7.0001e07f	user_options->skip	0
TOP.5d9d7fb7.0001e07f	user_options->attack_mode	100
TOP.5d9d7fb7.0001e07f	user_options->benchmark	0
TOP.5d9d7fb7.0001e07f	user_options->benchmark_all	0
TOP.5d9d7fb7.0001e07f	user_options->bitmap_max	18
TOP.5d9d7fb7.0001e07f	user_options->bitmap_min	16
TOP.5d9d7fb7.0001e07f	user_options->debug_mode	0
TOP.5d9d7fb7.0001e07f	user_options->example_hashes	0
TOP.5d9d7fb7.0001e07f	user_options->force	1
TOP.5d9d7fb7.0001e07f	user_options->hwmon_disable	0
TOP.5d9d7fb7.0001e07f	user_options->hwmon_temp_abort	90
TOP.5d9d7fb7.0001e07f	user_options->hash_mode	13100
TOP.5d9d7fb7.0001e07f	user_options->hex_charset	0
TOP.5d9d7fb7.0001e07f	user_options->hex_salt	0
TOP.5d9d7fb7.0001e07f	user_options->hex_wordlist	0
TOP.5d9d7fb7.0001e07f	user_options->increment	0
TOP.5d9d7fb7.0001e07f	user_options->increment_max	256
TOP.5d9d7fb7.0001e07f	user_options->increment_min	1
TOP.5d9d7fb7.0001e07f	user_options->keep_guessing	0
TOP.5d9d7fb7.0001e07f	user_options->kernel_accel	0
TOP.5d9d7fb7.0001e07f	user_options->kernel_loops	0
TOP.5d9d7fb7.0001e07f	user_options->kernel_threads	0
TOP.5d9d7fb7.0001e07f	user_options->keyspace	0
TOP.5d9d7fb7.0001e07f	user_options->left	0
